,title,ingredients,instructions
1,Азербайджанский плов,вода масло_сливочное рис соль шафран,"Минимум за 3-4 часа до приготовления плова возьмите 4 чашки риса и промойте как следует. Залейте водой, посыпьте сверху солью и оставьте в стороне. Очень важно замочить рис заранее, т.к. тогда он будет легче и быстрее вариться. Я обычно замачиваю рис с ночи. Возьмите чашечку, всыпьте в него шафран. Залейте его кипятком, накройте блюдечком и дайте отстояться минимум часа 4 (я его завариваю тоже с ночи). Очень важно, чтобы вы накрыли его блюдечком, чтобы аромат шафрана ""не убежал"". | Возьмите кастрюлю. Кастрюля не должна быть маленькой. Я на 4-5 стаканов риса беру 5-ти литровую кастрюлю. Наполните кастрюлю водой (воды так же должно быть много, т.к. рис набухает при варке) и поставьте на сильный огонь. Засыпьте соль, не скупитесь на соль. Недосоленный рис - невкусный, а рис требует много соли, чтобы быть соленым. Как вода начнет закипать, вылейте из миски с замоченным рисом воду, и оставшийся рис высыпьте в кипящую воду. Тут же перемешайте рис, иначе он сварится комками. Процесс варки недолгий, зависит от того, когда вы замочили рис. Занимает около 5-10-ти минут. Рис должен стать длиннее, а на вкус он должен быть полусваренным, т.е. не очень мягким, не очень твердым. Этот момент очень важен, т.к. от этого зависит конечный результат. | Как вы увидите, что рис дошёл до нужной концентрации, вылейте все в сито, прополоскайте кастрюлю, чтобы на дне не оставалось ни одной рисинки. На дно кастрюли вылейте растопленное масло так, чтобы дно покрылось хорошо маслом, не жалейте масла. Положите или лаваш, отрезанный по форме дна кастрюли или специальное тесто (отдельно высталю рецепт этого теста чуть позже), которое впоследствии становится хрустящей вкусной коркой, которая называется газмах. https://www.povarenok.ru/recipes/show/1792/ На тесто (лаваш) засыпьте приготовленный рис (помогайте деревянной ложкой, не бухайте рис прямо в кастрюлю, а кладите ложками, т.к. от этого рис будет рассыпчатым). Проделайте дырки в нем концом деревянной ложки, как следует залейте рис растопленным сливочным маслом ( где-то наверное полстакана или 3/4 стакана) распределите пол-стакана воды по рису, положите кастрюлю опять на огонь, заверните крышку кастрюли в марлечку или полотенце, которое хорошо впитывает влагу в себя, накройте кастрюлю и поставьте завариваться на очень слабый огонь. Через 15 минут возьмите крышку с кастрюли и залейте рис шафраном. Положите крышку обратно на кастрюлю и доваривайте рис до готовности около 1-2 часа / в зависимости от количества риса и размеров кастрюли. Готовность определяется по внешнему виду. Рис должен торчать в разные стороны и от него должен исходить ароматный пар. | Отложите ""жёлтый"" (шафранный) рис из кастрюли в тарелку. На блюдо вначале положите оставшийся рис (белый или полужелтый), а потом сверху положите желтый рис. Если у вас на рисе остались ниточки шафрана, не выбрасывайте его. Он придаёт только красоту вашему рису. Если у вас есть возможность добраться до слоя теста (лаваша), то отделите его от дна кастрюли, нарежьте его ромбиками и положите рядом или в тарелочку или по бокам риса на блюде. К плову подаются разные приправы, как например уже описанная мной сябзи говурма."
2,Постный плов,барбарис лук масло_растительное морковь приправа рис соль чеснок,"Используемые продукты. | Лук порезать полукольцами, | морковь соломкой. | Казан с маслом накалить и пожарить лук до золотистого цвета. | Добавить морковь. | Зиру перемолоть в ступе | и вместе с барбарисом приправить наши овощи. Залить кипятком, положить 1 столовую (без горки) ложку Вегетты и дать немного провариться. | Головку чеснока почистить от шелухи, промыть и положить в центр зирвака. | Рис промыть в воде несколько раз. Уложить на готовый овощной зирвак и залить кипятком. Уровень воды, как обычно, должен быть выше риса на два пальца. Добавить половину столовой ложки Вегетты. Не мешая риса, прибавить огонь и дать воде выкипеть. | Убавить огонь. Из риса сделать горку и накрыть крышкой. Пусть рис готовиться 25-30 минут. По истечении времени выключить огонь, и не открывая крышки, оставить казан с рисом на 15 минут. Затем перемешать рис шумовкой для равномерного распределения зирвака."
4,Гречаники,картофель крупа_гречневая масло_растительное соль яйцо_куриное,"Гречку перебрать, отварить до готовности. Картофелину очистить, отварить до разваривания. Слить всю воду, сделать пюре, не добавляя ни масла, ни сметаны - ничего! | Гречку смешать с ещё тёплым картофельным пюре. Добавить яйца, соль по вкусу. Очень хорошо перемешать. | Полученную массу оставить до полного остывания. | Раскалить в сковороде постное масло. Формировать из гречневого фарша большие котлеты и выкладывать для обжаривания. Вначале обжаривать на большом огне. | Перевернуть гречаники на другую сторону, уменьшить огонь и обжаривать до золотистой корочки. | Готовые гречаники можно прекрасно употреблять с любыми дополнениями: с соусами, с гуляшом, а кто держит пост - с грибной подливкой."
5,Гречневые котлетки с сыром,бульон картофель крупа_гречневая перец_черный соль сухари_панировочные сыр_твердый яйцо_куриное,В воду добавить бульон и сварить в нем гpечку. | Отварить картошку и размять в пюре. | Вбить яйцo. | Добавить гречку и хорошо перемешать. Посолить и поперчить по вкусу. | Слепить лепешку и положить в середину кусочек сыра | Залепить сверху | Обвалять в сухарях и жарить в маcле с двух сторон до готовности. | Вот и всё!!! ПРИЯТНОГО АППЕТИТА!!!
6,"Ризотто с курицей, грибами и луком-пореем",базилик бульон вино_белое лук масло_растительное масло_сливочное приправа сливки сыр_твердый филе_куриное чеснок шампиньоны,"Отварить куриное филе в 1,5 л воды. | На разогретом оливковом масле в течение 3-4 минут обжарить зубчик чеснока, затем вынуть его и выбросить. | Добавить лук-порей, нарезанный полукольцами. | Отварное филе разобрать на кусочки. Грибы разморозить, подогреть и выпарить лишнюю воду. К луку-порею добавить кусочки филе, грибы, сливочное масло и перемешать. Тушить в течение 5 минут. | Добавить рис. Влить вино и тушить до испарения вина. Посолить, добавить специи, перемешать. | Затем по 1 половнику вливаем куриный бульон, бульон должен покрывать рис, когда бульон выпарится, вливаем следующий половник, таким образом выливаем всю порцию бульона и готовим ризотто в течение 15-20 минут. | В конце процесса приготовления вливаем сливки, даем им выпариться. Посыпаем ризотто частью сыра и перемешиваем, остальной сыр используем при подаче блюда. | Готовое блюдо выложить на подогретую тарелку (дабы избежать прилипания риса), посыпать сыром и.... Приятного аппетита!:)"
7,Биточки из манной крупы,крупа_манная масло_растительное масло_сливочное молоко сахар соль яйцо_куриное,"В кипящее молоко всыпать манную крупу, размешать, добавить соль и сахар по вкусу, проварить на небольшом огне до загустения. | Немного охладить, добавить яйцо и сливочное масло. | Вымешать. | Сформовать из массы небольшие биточки и обжарить в разогретом масле с двух сторон до зарумянивания. Подать со сметаной, киселем или вареньем. Я подавала с вишневым варением. [color=darkred]Прият ного аппетита!!![/color]"
8,Ризотто с куриной печенью,вино_белое лук масло_оливковое масло_сливочное перец_душистый перец_черный петрушка печень рис сельдерей_черешковый соль чеснок,"В кастрюле вскипятите воду, добавив в нее душистый перец. Лук, чеснок и стебель сельдерея мелко порубите. | В большой сковороде разогрейте 3 ст. ложки оливкового и 1 ст. ложку сливочного масла. Слегка обжарьте лук, чеснок и сельдерей до прозрачности лука. Промойте куриные печенки и просушите их бумажным полотенцем, затем добавьте их к луку и сельдерею, прожарьте 2-3 минуты. | Добавьте рис, как следует перемешайте, оставьте на 2-3 минуты. Затем влейте вино, дайте рису покипеть и увариться. | Постепенно, половник за половником, добавляйте кипяченную с душистым перцем воду, постоянно помешивая. Кастрюльку с водой лучше держать на маленьком огне, так как добавляемая жидкость должна быть горячей. Рис должен впитывать жидкость, а не плавать в ней, поэтому не следует сразу наливать несколько половников жидкости. Весь процесс приготовления должен занять около 20 минут. | Готовое ризотто поперчите слегка, посолите по вкусу, добавьте 1 ст. ложку оливкового масла и порубленную зелень петрушки. | Приятного аппетита!"
9,Заменитель хлеба,вода крупа_ячневая петрушка,"Петрушку помыть и обсушить. | Крупу перемолоть в кофемолке. | В глубокую миску высыпаем перемолотую крупу, добавляем мелко нарезанную петрушку, запариваем всё кипятком, тщательно перемешав. Должна получиться очень густая каша. | Всё выкладываем на разделочную доску. Выравниваем края. Высота, примерно, 0,5см. | Сразу нарезаем на кусочки-ромбики. Сушим, периодически переварачивая. | У меня он сушился примерно день. Хранила в холодильнике не закрытым. Попробуйте, очень полезно и мне понравилось на вкус, а главное - практически без коллорий!"
10,Очень ленивое ризотто по-русски,вода лук овощи перец_черный приправа рис соль филе_куриное чеснок,"Все, что нам понадобится | Рис как следует промыть, глубокую форму для запекания смазать маслом. Рис высыпать в форму и разровнять, приправить по вкусу. | Лук порезать кубиками, овощной микс отцедить из банки и равномерно разложить поверх риса вместе с луком. Я еще разложила неочищенные дольки чеснока. | Мясо разложить поверх овощей, посолить, поперчить, добавить любимых приправ. Залить 3 ст. кипятка и накрыть сверху фольгой. Ставим в духовку разогретую до 200 С, где-то на 1-1,5 часа. А вообще все зависит от духовки и от того, какое мясо вы возьмете | У меня приготовилось за час, я даже немного передержала, просто не ожидала, что так быстро приготовится! Может из-за того, что я намочила пергамент и полностью закрыла содержимое формы, а сверху еще и фольгой накрыла (фольги оказалось впритык, были щели и я побоялась, что будет долго запекаться, поэтому перестраховалась пергаментом). На удивление все быстро, никакой послеготовочной грязи и посуды, а главное очень вкусно! Приятного!!!"
11,Гречневые оладьи с грибами и соусом,грибы зелень крупа_гречневая майонез мука_пшеничная огурец сметана соль яйцо_куриное,"Из гречневой крупы сварить кашу на воде, посолить. | Грибы нарезать, обжарить. | К готовой гречневой каше добавить грибы, | Яйцо, сметану, | Муку. Хорошо перемешать. | Выкладывать ложкой на сковороду в разогретое растительное масло. Обжарить с двух сторон. | Для соуса: Огурец нарезать небольшими кубиками (или натереть на терке). | Зелень мелко порубить. | Соединить сметану, зелень, огурец, хорошо перемешать. | Разложить на блюде оладьи, на середину выкладываем соус. Приятного аппетита."
